store_id,store_name,city,neighborhood,store_type,region_manager,support_phone
SW-0001,ServeWell - Banjara Hills,Hyderabad,Banjara Hills,corporate,Lakshmi Krishnan,+91-74572-23434
SW-0002,ServeWell - Kukatpally,Hyderabad,Kukatpally,franchise,Radha Patel,+91-70976-22280
SW-0003,ServeWell - Vijayanagar,Bengaluru,Vijayanagar,franchise,Shobha Rao,+91-93462-95181
SW-0004,ServeWell - Kondapur,Hyderabad,Kondapur,franchise,Saranya Bhat,+91-96523-10851
SW-0005,ServeWell - Kharadi,Pune,Kharadi,franchise,Nalini Bhat,+91-75094-38221
SW-0006,ServeWell - New Town,Kolkata,New Town,franchise,Harish Iyer,+91-81763-55082
SW-0007,ServeWell - Lajpat Nagar,Delhi,Lajpat Nagar,corporate,Sunil Gupta,+91-82403-20328
SW-0008,ServeWell - Pitampura,Delhi,Pitampura,franchise,Divya Singh,+91-71501-96673
SW-0009,ServeWell - BTM Layout,Bengaluru,BTM Layout,corporate,Krishnan Iyer,+91-82455-46434
SW-0010,ServeWell - Kurla,Mumbai,Kurla,franchise,Venkat Pillai,+91-91960-44993
SW-0011,ServeWell - SR Nagar,Hyderabad,SR Nagar,franchise,Nikhil Shetty,+91-75607-80010
SW-0012,ServeWell - Gachibowli,Hyderabad,Gachibowli,franchise,Meena Shetty,+91-92549-83000
SW-0013,ServeWell - Hebbal,Bengaluru,Hebbal,corporate,Swathi Reddy,+91-77505-14207
SW-0014,ServeWell - Hadapsar,Pune,Hadapsar,franchise,Rekha Goswami,+91-98716-51245
SW-0015,ServeWell - Yeshwanthpur,Bengaluru,Yeshwanthpur,franchise,Suma Bose,+91-74681-44718
SW-0016,ServeWell - Kengeri,Bengaluru,Kengeri,franchise,Sanjay Hegde,+91-84038-86484
SW-0017,ServeWell - Malad West,Mumbai,Malad West,corporate,Suresh Ghosh,+91-86171-21915
SW-0018,ServeWell - Viman Nagar,Pune,Viman Nagar,franchise,Arun Malhotra,+91-89543-18326
SW-0019,ServeWell - Bhandup,Mumbai,Bhandup,corporate,Preeti Desai,+91-88128-11504
